feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
glcm_Idm,glcm,original_glcm_Idm,410,0.9997542750264193,0.9994884939937863,0.9994897409328244,0.0009153740218156268,0.0005233796905609878,0.010708350467647176,0.000611317737812747,0.013847382111380152,0.0,0.748780487804878,0.9860784861406214,0.012741367846183967,0.8497495961000813,0.04962384383766865,discrepant
glcm_Idmn,glcm,original_glcm_Idmn,410,0.999611383310091,0.9991899490477266,0.99919192318521,0.00015042543647346236,7.559853603511524e-05,0.0026269991974151585,7.680587481560762e-05,0.002759762475830802,0.0,0.9804878048780488,0.9789153120934587,0.02082642957119337,0.9806472138458927,0.007513666699667255,discrepant
glcm_Idn,glcm,original_glcm_Idn,410,0.9996151783728701,0.9991503717426721,0.9991524422503523,0.00037475315262689026,0.00020877815935910204,0.005354175233823533,0.0002233656205762475,0.00603861522888269,0.0,0.9365853658536586,0.9793656148989556,0.019781134814956268,0.940578930315396,0.016655215077698685,discrepant
glcm_Imc1,glcm,original_glcm_Imc1,410,0.9876206984986101,0.9588718660698445,0.9589680625745081,0.018849825499113577,0.014363277431945903,0.1006683251346196,0.051732518688637714,0.5714370907027106,0.0,0.0024390243902439024,1.0798366253154588,0.04174625851040896,-0.28679109269492026,0.07906114151268291,discrepant
glcm_Imc2,glcm,original_glcm_Imc2,410,0.99096949755315,0.9884163968651479,0.9884443230767559,0.00905618174818635,0.0035969012775743936,0.14812874533404263,0.005295618643331416,0.2537358818249885,0.0024390243902439024,0.1926829268292683,1.0312798824098537,-0.02914550669002953,0.7082641610732111,0.1146001566361945,discrepant
glcm_InverseVariance,glcm,original_glcm_InverseVariance,410,0.9997245040971042,0.9995097227930917,0.9995109180063143,0.001360300343292729,0.0008305583577959685,0.020364679962894205,0.0031720698342542954,0.04868161186376069,0.0,0.5756097560975609,0.9891587186149554,0.0016883416823722075,0.27944123352620887,0.07574224838530905,discrepant
glcm_JointAverage,glcm,original_glcm_JointAverage,410,0.9999991773308105,0.9999988760382232,0.9999988787795904,0.0004339345394499582,0.00022847917199642076,0.004133268701107529,0.00010999672177540781,0.0024469290965353947,0.0,0.9707317073170731,0.9999396909438628,0.0005160363995026705,2.2173644016632945,0.4939662393391829,discrepant
glcm_JointEnergy,glcm,original_glcm_JointEnergy,410,0.9998611256728155,0.9997151476648295,0.9997158422292006,0.0019136595479257393,0.0012926518919292307,0.018018910153519002,0.004598185909695856,0.08785408369189222,0.0,0.35853658536585364,1.0065651238400635,-0.0038801210198488715,0.29993073291616895,0.12109712622931118,discrepant
glcm_JointEntropy,glcm,original_glcm_JointEntropy,410,0.9991815884131146,0.9973372284784874,0.9973437057916993,0.029792974697401726,0.02054542565266826,0.17536239594229297,0.009412258087005312,0.07152143469910216,0.0,0.0,1.0258870676302805,-0.03112898090705712,2.353374143203403,0.5365648093824383,discrepant
glcm_MaximumProbability,glcm,original_glcm_MaximumProbability,410,0.9999365857618328,0.9999333049921407,0.9999334676520685,0.0007428391340479866,0.0003680284822003277,0.017151018557764325,0.000831174841225589,0.06697286396064037,0.0,0.8439024390243902,1.000864199423075,-6.205646930610939e-05,0.46287378748058206,0.14146247044116825,discrepant
