label,cell_id,classification,x,y,width,height,area,centroid_x,centroid_y
384,c1d07f76-1697-4a25-9fab-00f2c0a394f0,"Unclassified",509.0,689.0,10.0,12.0,94.0,514.372314453125,695.0106201171875
385,3592b62a-12c7-4740-8c01-970274f355b1,"Unclassified",335.0,188.0,5.0,25.0,92.0,337.5434875488281,199.8369598388672
386,2968d443-d3df-4ca6-bd61-01fe4c6980b3,"Unclassified",162.0,412.0,10.0,13.0,92.0,167.4130401611328,418.75
387,bd03bc56-d8f8-4749-889b-da519f01e86f,"Unclassified",769.0,530.0,11.0,12.0,90.0,774.566650390625,536.0888671875
388,0ca283c5-28f0-44e3-9751-dccea91d6687,"Unclassified",463.0,143.0,10.0,13.0,89.0,468.61236572265625,149.96067810058594
389,f7eadada-019a-4cd8-a4c6-336b40120227,"Unclassified",242.0,148.0,11.0,12.0,89.0,247.1516876220703,153.96067810058594
390,45e317c8-007c-4af2-85ed-a6f0031930b9,"Unclassified",886.0,571.0,10.0,11.0,89.0,891.3876342773438,576.2078857421875
391,e214322d-ac29-4470-89a6-f47cb96459fe,"Unclassified",664.0,68.0,20.0,12.0,87.0,674.0977172851562,73.87931060791016
392,512a37d1-f5d4-44f1-bef3-8fc72a1423ce,"Unclassified",9.0,684.0,8.0,14.0,85.0,12.617647171020508,690.4764404296875
393,2402915b-f578-427e-af36-e0d4a47c75fc,"Unclassified",43.0,144.0,13.0,10.0,84.0,49.89285659790039,148.9761962890625
394,ce63704d-84cf-4dce-8124-7eee957a2d1b,"Unclassified",493.0,23.0,16.0,12.0,82.0,501.57318115234375,28.536584854125977
395,cb45541b-7250-467b-8dee-144a6ea4f515,"Unclassified",165.0,395.0,8.0,12.0,82.0,168.96340942382812,400.8658447265625
396,f1881faa-1aeb-4515-a8eb-1879daab7a06,"Unclassified",682.0,479.0,10.0,12.0,82.0,686.8048706054688,485.43902587890625
397,e6f5d310-9cb8-402a-8090-2efbbba3b8ed,"Unclassified",12.0,446.0,11.0,11.0,81.0,18.16666603088379,452.1666564941406
398,f43aaf40-ca72-4126-936d-d990075850cd,"Unclassified",149.0,712.0,14.0,9.0,80.0,155.85000610351562,716.0750122070312
399,253814f7-3773-4eaa-999f-fb0ead51fdde,"Unclassified",32.0,173.0,9.0,12.0,76.0,36.77631759643555,178.9605255126953
400,5b60777f-d31c-4ef5-be0e-6e9a8021e66e,"Unclassified",164.0,218.0,9.0,11.0,74.0,168.3378448486328,223.94595336914062
401,9f9fed6d-8543-4402-8005-9ab546cf9bc9,"Unclassified",89.0,723.0,10.0,10.0,74.0,93.93243408203125,728.4459228515625
402,3c0e6582-372c-4e4a-b61b-b4e1f121cfb3,"Unclassified",693.0,245.0,10.0,10.0,71.0,698.3450927734375,250.17605590820312
403,1264e49b-3a9c-42df-9dc2-529353effc16,"Unclassified",52.0,572.0,17.0,6.0,71.0,61.176055908203125,575.1619873046875
404,d6b79f58-5ac2-40d2-9f40-f6712a2554ab,"Unclassified",183.0,97.0,12.0,8.0,69.0,189.3115997314453,101.31159210205078
405,56a68450-da64-491f-825e-08da03bae3d7,"Unclassified",403.0,135.0,9.0,11.0,68.0,407.45587158203125,141.0441131591797
406,dfeb22ba-a06a-48e5-9e3b-6f72be07e75d,"Unclassified",234.0,177.0,7.0,10.0,56.0,237.5,181.9107208251953
407,b5aedb9d-2050-4153-b062-6334b870c73a,"Unclassified",24.0,761.0,12.0,6.0,51.0,30.656862258911133,764.12744140625
408,511d74bd-97ef-479b-93cf-5b31d7a6dc28,"Unclassified",759.0,116.0,14.0,9.0,43.0,766.0116577148438,120.75581359863281
409,1e214431-cc5f-487d-92ab-bdf30c000205,"Unclassified",0.0,9.0,4.0,15.0,37.0,1.7162162065505981,16.283782958984375
410,e756c599-cff9-4a13-ad77-ae506786d113,"Unclassified",443.0,567.0,6.0,7.0,29.0,446.0517272949219,571.086181640625
