feature,cls,pyradiomics,mapping,dimensionality,default_on,breast_n,breast_r,breast_ccc,breast_icc,breast_max_rel_err,breast_median_rel_err,breast_status,puma_n,puma_r,puma_ccc,puma_icc,puma_max_rel_err,puma_median_rel_err,puma_status,default_agg_max_rel_err,notes
gldm_GrayLevelNonUniformity,gldm,original_gldm_GrayLevelNonUniformity,direct,2D,yes,410,0.9999999999999999,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
gldm_GrayLevelVariance,gldm,original_gldm_GrayLevelVariance,direct,2D,yes,410,1.0,1.0,1.0,7.594188263116455e-16,1.163391991991001e-16,exact,8644,1.0,1.0,1.0,1.3239154892043612e-15,1.3001318722235235e-16,exact,7.594188263116455e-16,
gldm_HighGrayLevelEmphasis,gldm,original_gldm_HighGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
gldm_LargeDependenceEmphasis,gldm,original_gldm_LargeDependenceEmphasis,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,0.9999999999999999,1.0,1.0,0.0,0.0,exact,0.0,
gldm_LargeDependenceHighGrayLevelEmphasis,gldm,original_gldm_LargeDependenceHighGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,0.9999999999999999,1.0,1.0,0.0,0.0,exact,0.0,
gldm_LargeDependenceLowGrayLevelEmphasis,gldm,original_gldm_LargeDependenceLowGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,5.716023846149382e-16,0.0,exact,8644,0.9999999999999999,1.0,1.0,9.077034266596177e-16,0.0,exact,5.716023846149382e-16,
gldm_LowGrayLevelEmphasis,gldm,original_gldm_LowGrayLevelEmphasis,direct,2D,yes,410,1.0,0.9999999999999998,1.0,1.0551809817141627e-15,0.0,exact,8644,1.0,1.0000000000000002,1.0,1.512265498320911e-15,0.0,exact,1.0551809817141627e-15,
gldm_SmallDependenceEmphasis,gldm,original_gldm_SmallDependenceEmphasis,direct,2D,yes,410,1.0,0.9999999999999998,1.0,3.2416281730824646e-15,0.0,exact,8644,1.0,1.0,1.0,4.733749509926578e-15,0.0,exact,3.2416281730824646e-15,
gldm_SmallDependenceHighGrayLevelEmphasis,gldm,original_gldm_SmallDependenceHighGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,8.133092639456309e-16,0.0,exact,8644,1.0,1.0000000000000002,1.0,1.6272568385437873e-15,0.0,exact,8.133092639456309e-16,
gldm_SmallDependenceLowGrayLevelEmphasis,gldm,original_gldm_SmallDependenceLowGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,1.0206958134623389e-14,0.0,exact,8644,1.0,1.0,1.0,2.074238638041737e-14,0.0,exact,1.0206958134623389e-14,
glrlm_GrayLevelNonUniformity,glrlm,original_glrlm_GrayLevelNonUniformity,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,2.9997659857334296,
glrlm_GrayLevelNonUniformityNormalized,glrlm,original_glrlm_GrayLevelNonUniformityNormalized,direct,2D,yes,410,0.9999999999999998,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.025370970909295514,
glrlm_GrayLevelVariance,glrlm,original_glrlm_GrayLevelVariance,direct,2D,yes,410,0.9999999999999998,0.9999999999999998,1.0,7.146382513957915e-16,1.4590570430649443e-16,exact,8644,1.0,0.9999999999999998,1.0,1.324280699415984e-15,1.6129577140135672e-16,exact,0.03514906336716656,
glrlm_HighGrayLevelRunEmphasis,glrlm,original_glrlm_HighGrayLevelRunEmphasis,direct,2D,yes,410,0.9999999999999998,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.027822590068884108,
glrlm_LongRunEmphasis,glrlm,original_glrlm_LongRunEmphasis,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.4594694409612186,
glrlm_LongRunHighGrayLevelEmphasis,glrlm,original_glrlm_LongRunHighGrayLevelEmphasis,direct,2D,yes,410,0.9999999999999998,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.45936758502287356,
glrlm_LongRunLowGrayLevelEmphasis,glrlm,original_glrlm_LongRunLowGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,5.266392853372148e-16,0.0,exact,8644,0.9999999999999998,1.0,1.0,9.430249905625197e-16,0.0,exact,0.46717395592063016,
glrlm_LowGrayLevelRunEmphasis,glrlm,original_glrlm_LowGrayLevelRunEmphasis,direct,2D,yes,410,1.0,1.0,1.0,9.289013327007143e-16,0.0,exact,8644,1.0,1.0,1.0,1.331605067082856e-15,0.0,exact,0.04161753575618072,
glrlm_RunEntropy,glrlm,original_glrlm_RunEntropy,direct,2D,yes,410,0.9999999999999999,1.0000000000000002,1.0,3.7631026659004416e-15,2.253357115778391e-15,exact,8644,1.0,0.9999999999999999,1.0,6.511760793231222e-15,2.918670249276082e-15,exact,0.30328068172323114,
glrlm_RunLengthNonUniformity,glrlm,original_glrlm_RunLengthNonUniformity,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,2.9743326959349803,
glrlm_RunLengthNonUniformityNormalized,glrlm,original_glrlm_RunLengthNonUniformityNormalized,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.43659620291731677,
glrlm_RunPercentage,glrlm,original_glrlm_RunPercentage,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,6.192229827486788e-16,
glrlm_RunVariance,glrlm,original_glrlm_RunVariance,direct,2D,yes,410,1.0,1.0000000000000002,1.0,7.649159449300774e-16,1.4256616637840148e-16,exact,8644,1.0,1.0000000000000002,1.0,1.050738264120564e-15,1.5156887977609674e-16,exact,0.4198550984515813,
glrlm_ShortRunEmphasis,glrlm,original_glrlm_ShortRunEmphasis,direct,2D,yes,410,1.0,1.0000000000000002,1.0,5.974390626706492e-16,0.0,exact,8644,1.0,0.9999999999999998,1.0,8.96874974853733e-16,0.0,exact,0.11630289786652623,
glrlm_ShortRunHighGrayLevelEmphasis,glrlm,original_glrlm_ShortRunHighGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,6.047451441607203e-16,0.0,exact,8644,1.0,1.0,1.0,8.604731139460079e-16,0.0,exact,0.125537420523079,
glrlm_ShortRunLowGrayLevelEmphasis,glrlm,original_glrlm_ShortRunLowGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,2.152558574781991e-15,0.0,exact,8644,1.0,0.9999999999999999,1.0,2.794233896804065e-15,0.0,exact,0.16629362821486698,
glszm_GrayLevelNonUniformity,glszm,original_glszm_GrayLevelNonUniformity,direct,2D,yes,410,0.9999999999999998,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
glszm_GrayLevelNonUniformityNormalized,glszm,original_glszm_GrayLevelNonUniformityNormalized,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
glszm_GrayLevelVariance,glszm,original_glszm_GrayLevelVariance,direct,2D,yes,410,1.0,0.9999999999999998,1.0,6.274051046137514e-16,0.0,exact,8644,0.9999999999999998,0.9999999999999998,1.0,9.440386976686864e-16,0.0,exact,6.274051046137514e-16,
glszm_HighGrayLevelZoneEmphasis,glszm,original_glszm_HighGrayLevelZoneEmphasis,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
glszm_LargeAreaEmphasis,glszm,original_glszm_LargeAreaEmphasis,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
glszm_LargeAreaHighGrayLevelEmphasis,glszm,original_glszm_LargeAreaHighGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
glszm_LargeAreaLowGrayLevelEmphasis,glszm,original_glszm_LargeAreaLowGrayLevelEmphasis,direct,2D,yes,410,0.9999999999999999,1.0,1.0,4.2346517042345387e-16,0.0,exact,8644,0.9999999999999998,1.0,1.0,6.206870199189348e-16,0.0,exact,4.2346517042345387e-16,
glszm_LowGrayLevelZoneEmphasis,glszm,original_glszm_LowGrayLevelZoneEmphasis,direct,2D,yes,410,0.9999999999999999,1.0,1.0,8.477424504372075e-16,0.0,exact,8644,1.0,0.9999999999999999,1.0,1.21330287782334e-15,0.0,exact,8.477424504372075e-16,
glszm_SizeZoneNonUniformity,glszm,original_glszm_SizeZoneNonUniformity,direct,2D,yes,410,0.9999999999999998,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.0,
glszm_SizeZoneNonUniformityNormalized,glszm,original_glszm_SizeZoneNonUniformityNormalized,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,0.9999999999999998,1.0,1.0,0.0,0.0,exact,0.0,
glszm_SmallAreaEmphasis,glszm,original_glszm_SmallAreaEmphasis,direct,2D,yes,410,0.9999999999999998,1.0,1.0,1.1264746648882106e-13,0.0,exact,8644,1.0,1.0,1.0,1.8932239329150238e-15,0.0,exact,1.1264746648882106e-13,
glszm_SmallAreaHighGrayLevelEmphasis,glszm,original_glszm_SmallAreaHighGrayLevelEmphasis,direct,2D,yes,410,0.9999999999999999,1.0,1.0,5.113555863392158e-16,0.0,exact,8644,1.0,1.0,1.0,8.45974203974507e-16,0.0,exact,5.113555863392158e-16,
glszm_SmallAreaLowGrayLevelEmphasis,glszm,original_glszm_SmallAreaLowGrayLevelEmphasis,direct,2D,yes,410,1.0,1.0,1.0,1.7360302968947914e-13,0.0,exact,8644,0.9999999999999999,1.0,1.0,9.554067979811428e-15,0.0,exact,1.7360302968947914e-13,
glszm_ZoneEntropy,glszm,original_glszm_ZoneEntropy,direct,2D,yes,410,1.0,0.9999999999999998,1.0,1.707027206443971e-15,9.491266095942905e-16,exact,8644,1.0,0.9999999999999999,1.0,3.770273930151199e-15,1.1985569584335398e-15,exact,1.707027206443971e-15,
glszm_ZonePercentage,glszm,original_glszm_ZonePercentage,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,0.9999999999999999,1.0,1.0,0.0,0.0,exact,0.0,
glszm_ZoneVariance,glszm,original_glszm_ZoneVariance,direct,2D,yes,410,0.9999999999999999,1.0,1.0,5.036265328163324e-16,0.0,exact,8644,1.0,0.9999999999999998,1.0,8.456723288715607e-16,0.0,exact,5.036265328163324e-16,
ngtdm_Busyness,ngtdm,original_ngtdm_Busyness,direct,2D,yes,410,1.0,1.0,1.0,5.225033087274997e-16,0.0,exact,8644,0.9999999999999999,1.0,1.0,1.104734667702617e-15,0.0,exact,5.225033087274997e-16,
ngtdm_Coarseness,ngtdm,original_ngtdm_Coarseness,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,0.9999999999999998,1.0,1.0,0.0,0.0,exact,0.0,
ngtdm_Complexity,ngtdm,original_ngtdm_Complexity,direct,2D,yes,410,1.0,1.0000000000000002,1.0,6.858263378010722e-16,0.0,exact,8644,1.0,1.0,1.0,8.558366465245662e-16,0.0,exact,6.858263378010722e-16,
ngtdm_Contrast,ngtdm,original_ngtdm_Contrast,direct,2D,yes,410,0.9999999999999999,1.0000000000000002,1.0,1.0000055887609268e-09,2.0000788627547797e-10,exact,8644,0.9999999999999998,1.0000000000000002,1.0,2.400008003413355e-09,3.9999642348413907e-10,exact,1.0000055887609268e-09,
ngtdm_Strength,ngtdm,original_ngtdm_Strength,direct,2D,yes,410,1.0,1.0,1.0,1.0586867142467732e-15,0.0,exact,8644,1.0,1.0,1.0,2.7822759979899318e-15,0.0,exact,1.0586867142467732e-15,
shape2D_Elongation,shape2D,original_shape2D_Elongation,direct,2D,yes,410,0.9999999999999997,1.0000000000000002,1.0,2.0894543310158745e-14,2.992756464169688e-16,exact,8644,1.0,1.0,1.0,8.56885360643252e-14,3.032751755543483e-16,exact,2.0894543310158745e-14,computed from the pixel mask (identical definition)
shape2D_MajorAxisLength,shape2D,original_shape2D_MajorAxisLength,direct,2D,yes,410,0.9999999999999999,1.0000000000000002,1.0,1.0155049633984495e-14,1.4881983791060264e-16,exact,8644,0.9999999999999999,1.0,1.0,4.2368548489755095e-14,1.5146713337404294e-16,exact,1.0155049633984495e-14,computed from the pixel mask (identical definition)
shape2D_MaximumDiameter,shape2D,original_shape2D_MaximumDiameter,direct,2D,yes,410,0.9999999999999998,1.0,1.0,0.0,0.0,exact,8644,0.9996780990517181,0.9996473869832425,0.9996474277616662,0.375,0.0,discrepant,0.0,computed from the ROI polygon; PyRadiomics uses a marching-squares mesh of the raster (identical for raster-derived polygons)
shape2D_MeshSurface,shape2D,original_shape2D_MeshSurface,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,0.9999654495042841,0.9999642942189206,0.9999642983494748,0.15789473684210525,0.0034246600445821543,discrepant,0.0,computed from the ROI polygon; PyRadiomics uses a marching-squares mesh of the raster (identical for raster-derived polygons)
shape2D_MinorAxisLength,shape2D,original_shape2D_MinorAxisLength,direct,2D,yes,410,0.9999999999999999,1.0000000000000002,1.0,1.0767802517596493e-14,2.221410011214555e-16,exact,8644,1.0,1.0000000000000002,1.0,4.308087091109494e-14,2.0983118647076959e-16,exact,1.0767802517596493e-14,computed from the pixel mask (identical definition)
shape2D_Perimeter,shape2D,original_shape2D_Perimeter,direct,2D,yes,410,1.0,1.0000000000000004,1.0,9.020525217053866e-16,1.231475554517482e-16,exact,8644,0.9960918381802825,0.9956474996913697,0.9956480010285095,0.3271960380688463,0.016050840553681823,discrepant,9.020525217053866e-16,computed from the ROI polygon; PyRadiomics uses a marching-squares mesh of the raster (identical for raster-derived polygons)
shape2D_PerimeterSurfaceRatio,shape2D,original_shape2D_PerimeterSurfaceRatio,direct,2D,yes,410,1.0,1.0000000000000002,1.0,1.0019558367261746e-15,0.0,exact,8644,0.9960828818696377,0.9953934397981843,0.9953939702635067,0.28168411767963636,0.01705595094832811,discrepant,1.0019558367261746e-15,computed from the ROI polygon; PyRadiomics uses a marching-squares mesh of the raster (identical for raster-derived polygons)
shape2D_PixelSurface,shape2D,original_shape2D_PixelSurface,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,0.9999999999999998,1.0,1.0,0.0,0.0,exact,0.0,computed from the pixel mask (identical definition)
shape2D_SphericalDisproportion,shape2D,original_shape2D_SphericalDisproportion,direct,2D,yes,410,1.0,0.9999999999999998,1.0,1.016001946292722e-15,0.0,exact,8644,0.9582253318206662,0.9498419338412121,0.9498474454690466,0.2799174950375134,0.016617360201680677,discrepant,1.016001946292722e-15,computed from the ROI polygon; PyRadiomics uses a marching-squares mesh of the raster (identical for raster-derived polygons); optional in PyRadiomics (must be enabled explicitly)
shape2D_Sphericity,shape2D,original_shape2D_Sphericity,direct,2D,yes,410,1.0,1.0,1.0,8.473477464059976e-16,1.2391833659603135e-16,exact,8644,0.9549643359945241,0.9417595445095042,0.9417658898212083,0.21869963972115983,0.016648425229050304,discrepant,8.473477464059976e-16,computed from the ROI polygon; PyRadiomics uses a marching-squares mesh of the raster (identical for raster-derived polygons)
shape_Compactness1,shape,original_shape_Compactness1,legacy,2D under 3D name,no,410,-0.7100598598292834,-0.0021975389014973145,-0.0022029236934582213,46.699532650033255,21.278543160055975,discrepant,8644,-0.7644369608786772,-0.0025227357090277036,-0.002523028327405875,204.43682084127673,36.428163525747,discrepant,46.699532650033255,"2D quantity under PyRadiomics 3D name; PyRadiomics evaluates a one-voxel-thick volume, so values are not expected to agree; optional in PyRadiomics (must be enabled explicitly)"
