feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,mean_difference,sd_difference,loa_lower,loa_upper,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
glcm_InverseVariance,glcm,original_glcm_InverseVariance,8644,0.9999999999999998,1.0,1.0,2.8140891334494657e-17,0.0,2.7755575615628914e-16,-7.3852179449267125e-19,5.687046939971138e-17,-1.1220464181792696e-16,1.1072759822894162e-16,0.0,9.936902728758772e-16,1.0,1.0,0.9999999999999991,1.9106134617420112e-17,0.26212228863039216,0.06899972051024919,exact
glcm_JointAverage,glcm,original_glcm_JointAverage,8644,1.0,1.0,1.0,2.012118683916902e-16,0.0,2.220446049250313e-15,-4.700851770162046e-18,3.524263397659994e-16,-6.954564777115209e-16,6.860547741711968e-16,0.0,9.280791461564638e-16,1.0,1.0,1.0000000000000007,1.5284907693936055e-16,2.2889307854330205,0.5404685799446084,exact
glcm_JointEnergy,glcm,original_glcm_JointEnergy,8644,1.0,1.0,1.0,3.878684355032271e-17,0.0,4.996003610813204e-16,-2.3600587780526666e-19,6.850265030890273e-17,-1.345012004832546e-16,1.3402918872764406e-16,0.0,1.878147030311626e-15,1.0,1.0,0.9999999999999997,0.0,0.28470526492572173,0.11058129346180887,exact
glcm_JointEntropy,glcm,original_glcm_JointEntropy,8644,1.0,1.0000000000000002,1.0,5.308880241429642e-15,4.884981308350689e-15,1.9539925233402755e-14,5.308880241429642e-15,2.3651386407800307e-15,6.732085055007815e-16,9.944551977358503e-15,2.0117142532529734e-15,7.92458315634811e-15,1.0,1.0,1.0000000000000044,-1.987038000211694e-15,2.4561773464837993,0.515967230971788,exact
glcm_MaximumProbability,glcm,original_glcm_MaximumProbability,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999992,0.0,0.44500078131974147,0.129805626328855,exact
glcm_SumAverage,glcm,original_glcm_SumAverage,8644,1.0,1.0,1.0,2.0303569612765473e-16,0.0,3.552713678800501e-15,-3.904532617839514e-18,4.642442931258279e-16,-9.13823347144462e-16,9.06014281908783e-16,0.0,5.753247211569421e-16,1.0,1.0,1.0000000000000004,0.0,4.577861570866041,1.0809371598892168,exact
glcm_SumEntropy,glcm,original_glcm_SumEntropy,8644,1.0,1.0000000000000002,1.0,2.637110679707562e-15,2.6645352591003757e-15,6.217248937900877e-15,2.637110679707562e-15,8.121373443869634e-16,1.0453214847091138e-15,4.22889987470601e-15,1.2283723248757846e-15,4.96154903242831e-15,1.0,1.0,1.0000000000000007,4.585472308180819e-16,2.1389335337259747,0.421205200508421,exact
glcm_SumSquares,glcm,original_glcm_SumSquares,8644,1.0,0.9999999999999998,1.0,6.030632507843388e-17,0.0,8.881784197001252e-16,1.9181498129785195e-18,1.074014525472565e-16,-2.0858869717964424e-16,2.1242499680560126e-16,0.0,3.2925807401118315e-15,1.0,1.0,1.0000000000000004,0.0,0.5609957756951558,0.2797705114149059,exact
gldm_DependenceEntropy,gldm,original_gldm_DependenceEntropy,8644,1.0,1.0000000000000002,1.0,9.103160921346916e-15,8.881784197001252e-15,2.220446049250313e-14,9.103160921346916e-15,2.460462807490255e-15,4.2806538186660164e-15,1.3925668024027816e-14,2.258257308901087e-15,4.256602127046402e-15,1.0,1.0,1.0000000000000038,-5.196868615938257e-15,3.9727558136803753,0.4968647716104392,exact
gldm_DependenceNonUniformity,gldm,original_gldm_DependenceNonUniformity,8644,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000013,0.0,93.14766154955727,75.01913388167233,exact
gldm_DependenceNonUniformityNormalized,gldm,original_gldm_DependenceNonUniformityNormalized,8644,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000004,1.9106134617420103e-17,0.17673098132911666,0.05118121842981175,exact
gldm_DependenceVariance,gldm,original_gldm_DependenceVariance,8644,1.0,1.0,1.0,5.795919043178484e-16,4.440892098500626e-16,4.440892098500626e-15,2.5610651447276284e-17,8.373735816492823e-16,-1.615641568585317e-15,1.6668628714798696e-15,1.3338124948500309e-16,8.065288112167753e-16,1.0,1.0,1.0000000000000002,6.11396307757444e-16,4.319641810660687,0.9186621444308658,exact
gldm_GrayLevelNonUniformity,gldm,original_gldm_GrayLevelNonUniformity,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.956468184823814e-14,206.7252544220469,134.29367315142358,exact
gldm_GrayLevelVariance,gldm,original_gldm_GrayLevelVariance,8644,1.0,1.0,1.0,8.222155795946342e-17,5.551115123125783e-17,1.3322676295501878e-15,-8.830151890673243e-20,1.3662880271565328e-16,-2.6788075484158715e-16,2.677041518037737e-16,1.3001318722235235e-16,1.3239154892043612e-15,1.0,1.0,1.0000000000000016,1.5284907693936082e-16,0.6131884219343366,0.30604695074838556,exact
gldm_HighGrayLevelEmphasis,gldm,original_gldm_HighGrayLevelEmphasis,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000016,-6.113963077574436e-16,6.352700943025226,2.7650275294075977,exact
gldm_LargeDependenceEmphasis,gldm,original_gldm_LargeDependenceEmphasis,8644,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999991,4.891170462059549e-15,45.61679858956897,7.621835724216955,exact
gldm_LargeDependenceHighGrayLevelEmphasis,gldm,original_gldm_LargeDependenceHighGrayLevelEmphasis,8644,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999997,-3.91293636964763e-14,246.0202113711377,120.42267909655648,exact
gldm_LargeDependenceLowGrayLevelEmphasis,gldm,original_gldm_LargeDependenceLowGrayLevelEmphasis,8644,0.9999999999999999,1.0,1.0,1.314106415334316e-15,0.0,2.1316282072803006e-14,1.4120536710699874e-16,2.741118282877696e-15,-5.2313864673332855e-15,5.513797201547282e-15,0.0,9.077034266596177e-16,1.0,1.0,0.9999999999999997,0.0,16.30406008120817,10.83901070797942,exact
gldm_LowGrayLevelEmphasis,gldm,original_gldm_LowGrayLevelEmphasis,8644,1.0,1.0000000000000002,1.0,3.0947274153566806e-17,0.0,3.3306690738754696e-16,6.129730894289171e-18,6.014806231666782e-17,-1.1176047124637975e-16,1.240199330349581e-16,0.0,1.512265498320911e-15,1.0,1.0,0.9999999999999998,3.821226923484009e-17,0.3215948457637695,0.1689548395063152,exact
gldm_SmallDependenceEmphasis,gldm,original_gldm_SmallDependenceEmphasis,8644,1.0,1.0,1.0,5.1483799228029855e-18,0.0,1.1102230246251565e-16,-4.651884564222859e-19,2.2738273318078345e-17,-4.503220415985584e-17,4.410182724701127e-17,0.0,4.733749509926578e-15,1.0,1.0,1.0000000000000004,4.776533654355032e-18,0.05204488771095442,0.01950910671431573,exact
gldm_SmallDependenceHighGrayLevelEmphasis,gldm,original_gldm_SmallDependenceHighGrayLevelEmphasis,8644,1.0,1.0000000000000002,1.0,4.7011728665944345e-17,0.0,1.3322676295501878e-15,-3.1756437163184863e-18,9.562192144924942e-17,-1.9059460975684732e-16,1.8424332232421036e-16,0.0,1.6272568385437873e-15,1.0,1.0,0.9999999999999999,1.1463680770452048e-16,0.511788226954976,0.35538928629230665,exact
gldm_SmallDependenceLowGrayLevelEmphasis,gldm,original_gldm_SmallDependenceLowGrayLevelEmphasis,8644,1.0,1.0,1.0,1.4333945427075826e-18,0.0,1.0408340855860843e-16,-3.938448428510509e-19,1.1962826511236972e-17,-2.3840984804875515e-17,2.3053295119173415e-17,0.0,2.074238638041737e-14,1.0,1.0,0.9999999999999998,0.0,0.012409363107848122,0.005421513948019656,exact
glrlm_GrayLevelNonUniformity,glrlm,original_glrlm_GrayLevelNonUniformity,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.956468184823816e-14,198.73636911531,108.94615520250098,exact
glrlm_GrayLevelNonUniformityNormalized,glrlm,original_glrlm_GrayLevelNonUniformityNormalized,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999998,1.9106134617420115e-17,0.3320030336061586,0.06695338739282465,exact
glrlm_GrayLevelVariance,glrlm,original_glrlm_GrayLevelVariance,8644,1.0,0.9999999999999998,1.0,1.3426807868525346e-16,1.1102230246251565e-16,1.3322676295501878e-15,3.4838962914110796e-19,2.0348998650356206e-16,-3.9849198391784054e-16,3.9918876317612273e-16,1.6129577140135672e-16,1.324280699415984e-15,1.0,1.0,1.0000000000000004,0.0,0.8043594838425088,0.3582675528444379,exact
glrlm_HighGrayLevelRunEmphasis,glrlm,original_glrlm_HighGrayLevelRunEmphasis,8644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999988,0.0,7.632648801577818,2.803176061961744,exact
